,Score,LineA,LineB
Golden State Warriors - Toronto Raptors,117:112,-1000,687
Los Angeles Lakers - Washington Wizards,102:99 OT,183,-213
Phoenix Suns - Utah Jazz,97:88,257,-303
Dallas Mavericks - Memphis Grizzlies,103:94,140,-159
Miami Heat - San Antonio Spurs,100:117,138,-156
Oklahoma City Thunder - Indiana Pacers,114:96,-1000,724
Brooklyn Nets - Cleveland Cavaliers,112:107,265,-312
Charlotte Hornets - Denver Nuggets,110:93,119,-135
Detroit Pistons - Minnesota Timberwolves,122:101,-137,120
Philadelphia 76ers - Houston Rockets,104:105,140,-159
Los Angeles Clippers - Utah Jazz,102:84,-196,168
Portland Trail Blazers - New Orleans Pelicans,103:93,-192,167
Minnesota Timberwolves - Indiana Pacers,107:130,-714,546
Boston Celtics - New York Knicks,110:89,-286,243
Cleveland Cavaliers - Chicago Bulls,119:112,-2000,1143
Orlando Magic - Brooklyn Nets,125:121,-192,167
Phoenix Suns - Sacramento Kings,117:115,118,-133
Denver Nuggets - Washington Wizards,104:109,-196,170
Dallas Mavericks - Golden State Warriors,103:133,781,-1111
San Antonio Spurs - Toronto Raptors,101:97,-143,125
Houston Rockets - Memphis Grizzlies,90:98,-345,286
Milwaukee Bucks - Charlotte Hornets,103:94,-263,227
Miami Heat - Atlanta Hawks,104:93,-714,531
Detroit Pistons - Philadelphia 76ers,86:97,-161,141
Los Angeles Lakers - New Orleans Pelicans,112:119,168,-196
Oklahoma City Thunder - Minnesota Timberwolves,113:115,-179,156
Brooklyn Nets - Atlanta Hawks,116:104,-119,102
Los Angeles Clippers - Phoenix Suns,130:88,-1250,838
Denver Nuggets - Sacramento Kings,96:79,-833,587
Utah Jazz - Oklahoma City Thunder,96:87,161,-185
Milwaukee Bucks - Portland Trail Blazers,113:110,-152,133
Chicago Bulls - San Antonio Spurs,77:87,440,-556
Cleveland Cavaliers - Orlando Magic,93:114,-833,615
Houston Rockets - Dallas Mavericks,107:91,-769,571
Memphis Grizzlies - Golden State Warriors,111:101,313,-385
Miami Heat - Indiana Pacers,112:108,-455,369
New York Knicks - Detroit Pistons,107:111,104,-120
Toronto Raptors - Philadelphia 76ers,128:94,-435,345
Phoenix Suns - Los Angeles Lakers,130:132,-161,142
New Orleans Pelicans - Golden State Warriors,120:128,355,-435
Dallas Mavericks - Sacramento Kings,88:93,-222,190
Minnesota Timberwolves - Utah Jazz,100:97,-185,161
Brooklyn Nets - Orlando Magic,126:121,-130,112
Charlotte Hornets - Atlanta Hawks,109:91,-185,162
Indiana Pacers - Portland Trail Blazers,96:114,185,-213
Milwaukee Bucks - Cleveland Cavaliers,97:116,-108,-106
Philadelphia 76ers - Boston Celtics,92:102,-143,125
Washington Wizards - Detroit Pistons,115:111,-263,224
Los Angeles Lakers - Los Angeles Clippers,92:108,206,-238
Oklahoma City Thunder - New York Knicks,105:84,-833,602
Utah Jazz - Portland Trail Blazers,112:103 OT,-164,144
Memphis Grizzlies - Orlando Magic,99:101,-147,127
New Orleans Pelicans - Minnesota Timberwolves,98:104,-128,112
New York Knicks - Houston Rockets,97:119,196,-227
Boston Celtics - Sacramento Kings,113:86,-833,620
Miami Heat - Chicago Bulls,97:91,-556,428
Charlotte Hornets - Milwaukee Bucks,126:121,-167,147
Cleveland Cavaliers - Indiana Pacers,107:124,-500,401
Philadelphia 76ers - Atlanta Hawks,119:109,-312,258
Washington Wizards - Phoenix Suns,116:122,-667,523
Los Angeles Lakers - Detroit Pistons,113:93,133,-152
Milwaukee Bucks - Oklahoma City Thunder,91:110,120,-137
Brooklyn Nets - Phoenix Suns,114:122,-185,162
Indiana Pacers - Sacramento Kings,101:83,-222,193
Los Angeles Clippers - Golden State Warriors,113:141,195,-227
Portland Trail Blazers - Toronto Raptors,85:99,-169,147
Utah Jazz - Dallas Mavericks,104:89,-357,294
Houston Rockets - Philadelphia 76ers,107:115,-286,243
Memphis Grizzlies - Charlotte Hornets,99:104,-204,177
New Orleans Pelicans - Orlando Magic,99:115,-294,250
Boston Celtics - San Antonio Spurs,108:94,-161,144
Miami Heat - Minnesota Timberwolves,122:125 OT,133,-152
New York Knicks - Denver Nuggets,116:110,156,-179
Golden State Warriors - Detroit Pistons,107:115,-1429,905
Cleveland Cavaliers - New York Knicks,95:114,-588,457
Brooklyn Nets - Denver Nuggets,111:124,175,-204
Charlotte Hornets - Orlando Magic,120:113,-172,150
Sacramento Kings - Washington Wizards,83:110,245,-294
Indiana Pacers - San Antonio Spurs,97:94,224,-263
Atlanta Hawks - Milwaukee Bucks,106:117,185,-217
Los Angeles Clippers - Detroit Pistons,87:95,-333,270
Portland Trail Blazers - Phoenix Suns,114:107,-769,570
Dallas Mavericks - Philadelphia 76ers,110:112,104,-125
Chicago Bulls - Oklahoma City Thunder,69:101,661,-625
Memphis Grizzlies - Houston Rockets,103:89,-167,152
Miami Heat - Boston Celtics,90:96,139,-156
Utah Jazz - Los Angeles Lakers,96:81,-625,480
New Orleans Pelicans - Cleveland Cavaliers,123:101,122,-141
Golden State Warriors - Washington Wizards,120:117,-714,547
Los Angeles Lakers - Toronto Raptors,92:101,204,-238
Minnesota Timberwolves - Oklahoma City Thunder,119:116,112,-130
Atlanta Hawks - Denver Nuggets,100:105,233,-278
New York Knicks - Brooklyn Nets,107:86,-135,117
Charlotte Hornets - Houston Rockets,93:109,127,-145
Orlando Magic - San Antonio Spurs,114:87,181,-213
Sacramento Kings - New Orleans Pelicans,106:114,-110,-104
Portland Trail Blazers - Los Angeles Clippers,103:104,-128,112
Chicago Bulls - Atlanta Hawks,91:86,-132,114
Memphis Grizzlies - Dallas Mavericks,96:91,-312,261
Milwaukee Bucks - Boston Celtics,89:96,-182,159
Los Angeles Lakers - Philadelphia 76ers,109:115,141,-161
Portland Trail Blazers - Orlando Magic,99:94,-200,175
Charlotte Hornets - Cleveland Cavaliers,107:115,-106,-109
Memphis Grizzlies - Indiana Pacers,113:116,-149,131
Milwaukee Bucks - Detroit Pistons,99:95,-185,161
Minnesota Timberwolves - San Antonio Spurs,98:86,-196,168
New Orleans Pelicans - Toronto Raptors,116:125,-145,125
Oklahoma City Thunder - Chicago Bulls,92:79,-1000,711
Atlanta Hawks - Sacramento Kings,126:80,-204,177
Miami Heat - Washington Wizards,93:102,-125,108
New York Knicks - Utah Jazz,106:101,-169,149
Dallas Mavericks - San Antonio Spurs,91:97,220,-256
Houston Rockets - Toronto Raptors,113:129,-256,218
